channel,band,n_day,n_night,t_stat,p_value,power,mean_day,mean_night,HYP
50,Alpha,24,31,-1.073674422056628,0.28950352390258605,0.19664997315061306,0.00012996756814912428,0.00016139644229726612,False
26,Beta,24,31,1.0629673620831905,0.2939813386766469,0.19142881067767137,5.614763833729656e-05,4.5764350020315125e-05,False
40,Tetta,24,31,-1.056663562453805,0.2964655475842071,0.15847289871899356,0.00012606396801181363,0.0001547164832335969,False
15,Alpha,24,31,-1.0422969734036756,0.3020919834511237,0.17182237190795174,0.00018456517704870754,0.00022117741839439294,False
40,Delta,24,31,-1.0397922860052948,0.30475048331814203,0.15210394310781788,0.00017585594824150676,0.0002128478867341527,False
48,Beta,24,31,1.035620701297426,0.30611247673726394,0.1816266861967001,6.702125978291563e-05,5.776202032185878e-05,False
56,Beta,24,31,-1.026861524669617,0.3099496786593057,0.15331817770543896,4.6525221520672146e-05,5.872558228004479e-05,False
53,Alpha,24,31,-1.0214421946105212,0.3116997501598335,0.164513904683201,0.00011756700472423811,0.00013639962973735533,False
49,Tetta,24,31,-1.0206408035858132,0.31285905064069325,0.15202040777676512,9.8213378494298e-05,0.00012018396765536057,False
23,Alpha,24,31,0.9970143589369377,0.32590284593356034,0.1827706205806223,0.00012448839143998082,0.00010268150989448257,False
42,Delta,24,31,0.9924256640695297,0.32615083773250464,0.16764494324885543,0.0001317700991477069,0.00011610431503758276,False
13,Alpha,24,31,-0.9908974087890517,0.3262885668151607,0.1533014958606353,0.0001343984075859929,0.00015720131599640264,False
23,Beta,24,31,0.9931750409663224,0.32684975485450374,0.17609297925461537,4.090310778721957e-05,3.37938303040043e-05,False
24,Delta,24,31,-0.9839911641023208,0.3329877459081879,0.13565266366238304,0.00017018924845403,0.001298800616338962,False
20,Delta,24,31,-0.9781056785071112,0.3358080725957576,0.13468206138812855,0.00020710764895490812,0.000598574456854313,False
56,Delta,24,31,-0.9672801144346401,0.3386620915210531,0.14076543273655936,0.00011958798196102641,0.00013653854508827455,False
9,Delta,24,31,-0.9692280650591258,0.3401780073384538,0.1330375007995985,0.00025157760403838106,0.0020209078704839685,False
57,Delta,24,31,0.9580641044937006,0.34314850871455316,0.16066030109749205,0.0002056155981418977,0.00018673026871765945,False
1,Beta,24,31,0.9531221294509841,0.3455889111409651,0.15923483749651238,0.0001174299937348752,7.631660019962644e-05,False
15,Delta,24,31,0.9372112915852536,0.35394025105577787,0.15802172732058137,0.00022297674148699371,0.00019585439984201052,False
34,Alpha,24,31,-0.9244237927658596,0.35953603192168204,0.14527621983087513,0.00010180418133809514,0.00011677006520553668,False
6,Tetta,24,31,-0.9220892981244224,0.36191057796554404,0.13038357225777394,0.00010755954798069585,0.00012190735070115423,False
28,Alpha,24,31,-0.9166728566074173,0.3634776707301375,0.1415708030863491,9.72367577357625e-05,0.00011000296308831734,False
17,Tetta,24,31,0.9113395748105222,0.36661697440079266,0.14661760742648577,0.00016604178368577073,0.00014758003382451707,False
16,Beta,24,31,0.9172589134055255,0.3674438191246705,0.1715180116018269,0.00010394348035583958,6.10481251267494e-05,False
42,Alpha,24,31,-0.8986414387112501,0.373020197968717,0.14054330377046248,0.0001174881741296147,0.00013646842420747098,False
51,Tetta,24,31,0.8931075154265515,0.37725704492031564,0.1506847677930513,0.00018556654847586007,0.00014665991484743679,False
42,Tetta,24,31,-0.8818839405466414,0.3821543538163561,0.1278087949861424,0.0001016102958291825,0.00012204555360015338,False
40,Alpha,24,31,-0.8682044736698009,0.38960117968444075,0.12478310865622565,0.00013868604520003608,0.00016704235680334466,False
50,Tetta,24,31,-0.8569918862227939,0.395892210544338,0.1372421034685188,0.00011460467001441105,0.00014192342651158673,False
55,Beta,24,31,0.8633616391508465,0.39602655559478994,0.1581591283974384,5.887146415807614e-05,3.5796923841499754e-05,False
22,Alpha,24,31,-0.8414070356335676,0.40496289835165056,0.13744799978667224,8.391156228526829e-05,0.0001012149566459266,False
11,Alpha,24,31,0.841893912810115,0.4068704565579998,0.14888888134094247,0.0001230432712465852,9.864553859090614e-05,False
48,Delta,24,31,-0.8348660923374611,0.4094753076517639,0.11315935780642182,0.00018960412092278463,0.0002278347896172003,False
29,Delta,24,31,0.8327817929932743,0.4127959671686199,0.15068767683679948,0.0004977881489709952,0.000301693879837895,False
6,Alpha,24,31,-0.8184853880803021,0.4167470720093477,0.12120144121312523,8.69083531476954e-05,9.637857426935473e-05,False
41,Alpha,24,31,-0.7889693376526191,0.4338726714345731,0.112438650091686,0.00012935897916957405,0.00014844837386021405,False
13,Tetta,24,31,-0.7862926681114089,0.43539390264709776,0.11226562258557216,0.00010664288988136362,0.00012134992456341959,False
28,Tetta,24,31,-0.7755222656492948,0.4419084332103752,0.1089015784583205,0.00011394260438890282,0.00012524958661414956,False
43,Alpha,24,31,-0.7721516656382567,0.44349198246362975,0.11192893021389293,0.00013843855918714746,0.00015669526451208472,False
0,Beta,24,31,-0.7692250287155283,0.4466562924913391,0.10410852536438746,0.00014055355028043834,0.00021396917564122105,False
33,Alpha,24,31,-0.7580683361519905,0.45177121336646653,0.1117028326081974,9.351196713569326e-05,0.00010507066079942962,False
2,Beta,24,31,0.75232178493092,0.4552684348790541,0.11274008496323853,0.00011340274681077664,8.277546454473477e-05,False
48,Tetta,24,31,-0.7461020505921137,0.4590173167833954,0.1065983477964084,0.00014651972643341286,0.00016216826171374502,False
46,Beta,24,31,0.7422194001217213,0.46141761290912553,0.11234628816626516,3.80639104361749e-05,3.546114232817688e-05,False
41,Beta,24,31,-0.7381362523405621,0.46420029745804703,0.10271413692966631,5.215955132418542e-05,6.658380162514737e-05,False
31,Alpha,24,31,-0.737166292763001,0.4646109235661545,0.10347678787362977,0.00017895856172583436,0.00021197102082107865,False
5,Beta,24,31,0.7385292959935424,0.46501999618372114,0.12024281587015816,9.09220599530345e-05,7.483635992022729e-05,False
29,Alpha,24,31,-0.7340652977978567,0.4662067382797984,0.10937965873265235,0.00010629919666353102,0.00011900437305069765,False
62,Delta,24,31,0.7299427976217564,0.4694325301106168,0.11470681149839725,0.00022452412900432188,0.00020270967332557192,False
7,Beta,24,31,0.7234691931435914,0.473125034469592,0.11211290789596981,3.286601382507282e-05,2.9274051828202996e-05,False
34,Tetta,24,31,-0.7145205058584854,0.4783059229855191,0.10054937170343675,0.0001315380350467244,0.00014648216790793793,False
16,Tetta,24,31,0.7166531982221613,0.4798484331702062,0.122682566177735,0.0001839077968766215,0.00014458473778213726,False
26,Delta,24,31,0.7097046799030373,0.4810678953911245,0.1055717923944807,0.00013740120763942274,0.00012582140800419038,False
36,Tetta,24,31,-0.6691877999661396,0.5062842908123131,0.09700657454915144,0.00011595442753757768,0.00012791404963169404,False
36,Delta,24,31,0.659178406776687,0.5127494110105775,0.09842117196993241,0.00021983632407131023,0.00020184378903861618,False
31,Delta,24,31,-0.6426632830549627,0.5235203870400964,0.09032602399080314,0.0017413475911452474,0.0029304446840467415,False
55,Alpha,24,31,0.6348886363572734,0.5303169776667105,0.1045042022469842,0.00010264420048981744,8.769027815619756e-05,False
22,Delta,24,31,-0.6321425593152399,0.5303732381875796,0.08870811019398339,9.35339217114063e-05,0.00010058496855528242,False
47,Tetta,24,31,-0.5573855332462745,0.5798130362748449,0.08527224444014024,0.0001373218373300634,0.0001525506313356265,False
25,Tetta,24,31,-0.5564422816007148,0.580375255951457,0.08456730325938344,0.00012884574516860937,0.0001397309572463502,False
49,Delta,24,31,-0.5517889672753294,0.5846107868164011,0.07716731264737962,0.00012172865032443426,0.00013791754493712896,False
11,Tetta,24,31,0.5439794112616078,0.5902018300857674,0.08886786519256404,0.00011081145905179886,9.512449954343428e-05,False
34,Beta,24,31,0.5358026548388802,0.5948122733390733,0.08407879710294264,5.576463675090678e-05,4.987908337133062e-05,False
0,Alpha,24,31,-0.5280574519521916,0.5998517481031933,0.08159064746109071,0.00013647304762552732,0.00015377532211644797,False
9,Tetta,24,31,-0.5157361883674756,0.6092347539077585,0.07378670412639195,0.0001838549396234242,0.00022415916271634374,False
29,Tetta,24,31,0.5157945515840974,0.6098985896895089,0.08603762922276414,0.00016848046316145083,0.00014766660548843643,False
32,Tetta,24,31,0.5104298858688051,0.6119731401206232,0.07893405617290039,0.00010926114290130274,0.00010130308855788764,False
31,Beta,24,31,0.510169856062297,0.6120605504160368,0.0777905548882989,0.00020875903386526398,0.00017517948033995084,False
2,Delta,24,31,0.5028587909123391,0.6171493702840651,0.07676169676839292,0.0001695534543511113,0.0001556308228069667,False
60,Tetta,24,31,0.48367326904003777,0.6307040739762446,0.07591609801169513,0.00011538441202452853,0.00010790089368795588,False
17,Alpha,24,31,-0.48124929262042493,0.6323205654078401,0.07420744225261279,0.0001934958642719164,0.00020792500554788976,False
62,Alpha,24,31,-0.47496924754764247,0.6368083360077278,0.0745912008420205,0.00013759316000989434,0.00014667761788300166,False
53,Delta,24,31,-0.47546176299358456,0.637100974742991,0.07064322276842903,0.00015210707555209785,0.0001737623953882946,False
44,Tetta,24,31,-0.46689156319952324,0.6425369454580465,0.07198625347130114,0.00014971467386175268,0.00016172038166704675,False
55,Delta,24,31,0.46407218295032443,0.6453098345123041,0.07691618172414533,0.00012950798554704526,0.00011959198539190078,False
35,Alpha,24,31,-0.45263408919148246,0.6528136873503875,0.07309236168896246,0.00012423915048871733,0.00013930115074981613,False
13,Delta,24,31,0.441643815607838,0.6605544921049684,0.07080052442164352,0.00013002512204566118,0.00012315848233993145,False
14,Alpha,24,31,-0.4393211536081968,0.6623467798553806,0.07164077411573472,0.00015441279008181953,0.00016672229812134936,False
7,Alpha,24,31,0.43943197705536263,0.6627233355604565,0.07354017378989157,0.0001048693845577886,9.615488867878857e-05,False
5,Alpha,24,31,-0.43587860725231686,0.6649583457363943,0.07196330993497005,0.00011091134254590503,0.0001217613498330595,False
14,Tetta,24,31,0.43559835329580904,0.6651946088928391,0.07208240994613932,0.00014511356823641467,0.0001348668084322769,False
27,Delta,24,31,-0.4315962381349876,0.6680272184922207,0.06783392881195763,0.00013598169375169723,0.00014235214123611484,False
54,Delta,24,31,0.42259150818636526,0.6743078124433619,0.06841853458956391,0.00010898833627019185,0.00010324307303680343,False
0,Tetta,24,31,-0.4211848093850011,0.6753818441623738,0.0694272805206155,0.0001634586729949936,0.0001862627622864997,False
9,Alpha,24,31,0.4200601775229544,0.6765331124070527,0.07092958646176759,0.00017599335301967054,0.0001624470746976261,False
18,Delta,24,31,-0.4170249340883295,0.6784557372806961,0.06708304929537641,0.00010801166516751175,0.00011322817953014645,False
7,Delta,24,31,-0.3914716806791838,0.6973946877022619,0.06426493763328985,8.74203087312491e-05,9.218338708058515e-05,False
24,Alpha,24,31,-0.38149451775266563,0.7043622264583573,0.06526115284600517,0.00013324224002170566,0.00014245875300433983,False
37,Alpha,24,31,0.3772245199673398,0.7079317293091805,0.06706147483506984,0.0001052519854699946,9.771823386109427e-05,False
19,Delta,24,31,-0.3742053973023847,0.7103453779892843,0.06262291211804263,0.00016308201187143943,0.00017903484623821222,False
44,Delta,24,31,0.35456299350683196,0.7243246290740575,0.06317014833351378,0.00018828415176913075,0.00018058910147178235,False
26,Tetta,24,31,-0.3475746116346842,0.7295839045551809,0.06203090167771186,8.178997334117864e-05,8.513945510744927e-05,False
38,Delta,24,31,-0.3368979375404766,0.7378679364249875,0.060500642747584425,0.00010763681201519068,0.00011219509553518318,False
23,Delta,24,31,0.3342017979642384,0.7395867895376127,0.061144955666787994,9.774339904357328e-05,9.340499567133755e-05,False
27,Beta,24,31,-0.3331117975437724,0.7403754837278383,0.06182245518769722,2.8287660461247608e-05,2.9339790302241335e-05,False
5,Tetta,24,31,-0.32128355768632233,0.7496434142649469,0.0624300976262357,0.00010883799298079803,0.0001157904778343412,False
6,Delta,24,31,-0.3118335507815824,0.7566517453571201,0.05908035613609808,0.000148991066075443,0.00015490662274995182,False
10,Alpha,24,31,0.3096068700063876,0.7580767025446755,0.06008777680436892,0.00010654403514168858,0.0001025646323840381,False
18,Beta,24,31,-0.30875974083882707,0.7589249034662959,0.06104891038947882,3.000460717248091e-05,3.1108242377419426e-05,False
53,Tetta,24,31,-0.2971587159356157,0.7677582770241839,0.06036754540680749,0.00010916610998329488,0.00011440409777225332,False
37,Tetta,24,31,0.29544509842244787,0.7688920285356586,0.05971822270060562,0.00010417207715176808,9.913902557768576e-05,False
25,Delta,24,31,0.2873514578723945,0.7750368600027595,0.05915660434131122,0.00033436299948362406,0.00029645955211984605,False
43,Delta,24,31,-0.28724871201437435,0.7750818440126148,0.058194478593522864,0.00013396842898889618,0.00013911775042993517,False
14,Delta,24,31,0.2869459523536579,0.7752962181584614,0.05826101688309118,0.00016522651965621897,0.00015953614621809758,False
54,Alpha,24,31,0.2864450557719034,0.7757193652310935,0.059066408288984615,9.90026477295668e-05,9.511704334009431e-05,False
16,Alpha,24,31,0.2693383118509089,0.7895457007561841,0.05965234632514382,0.0001915233527601687,0.0001766306175887773,False
50,Delta,24,31,-0.2608336903724378,0.7953476661378789,0.05770642789659463,0.00014093553911222236,0.000148232404967802,False
60,Alpha,24,31,-0.25964964808028274,0.7961585081696586,0.05724139734091341,0.00010165337898403194,0.0001056407941380438,False
10,Tetta,24,31,0.2587947029247853,0.7968230258129019,0.05724564615034761,8.11267159262479e-05,7.872544842077274e-05,False
7,Tetta,24,31,-0.2556799888209912,0.7991895126715332,0.05671516767532818,6.364133643291582e-05,6.546271883055059e-05,False
