channel,band,n_A,n_B,mean_A,mean_B,diff_A_minus_B,t_stat,p_value
4,Alpha,15,17,0.13508367561513468,0.1767038648859376,-0.04162018927080291,-1.1539027752426927,0.26102573842738247
10,Alpha,15,17,0.1019425506954865,0.13875842682432896,-0.03681587612884246,-1.1437913104386994,0.26620108298079626
22,Delta,15,17,0.14721050808827083,0.21105473216216103,-0.0638442240738902,-1.1278406484384516,0.26941235706362265
59,Delta,15,17,12.670152026887921,1.1968385179733194,11.473313508914602,1.1404045982045306,0.27323015474147416
17,Tetta,15,17,0.1887230544099732,0.24138051340309516,-0.052657458993121964,-1.1120788684560303,0.2749794802203183
43,Beta,15,17,0.0550218969856995,0.07041239010624023,-0.015390493120540728,-1.0998803119843767,0.28013549631765966
57,Alpha,15,17,0.11994845903522912,0.15505950134612764,-0.035111042310898524,-1.1012163588177464,0.28296567183388777
28,Delta,15,17,0.24237061233984097,0.3103712978838038,-0.06800068554396282,-1.0925272913512336,0.2833121427916709
2,Tetta,15,17,0.1424287055456449,0.1688257932443829,-0.026397087698737998,-1.087313575203771,0.2860908129747192
18,Delta,15,17,0.1765727422244492,0.23788461414705808,-0.061311871922608896,-1.086305183632605,0.28630230005185164
58,Beta,15,17,0.07861695423397044,0.11973714800838497,-0.04112019377441453,-1.0833259358300462,0.2876811567346279
6,Delta,15,17,0.2027677823567674,0.27451996345605173,-0.07175218109928433,-1.079649097650752,0.28894257652446004
14,Beta,15,17,0.05865245186206367,0.08523793636458595,-0.026585484502522273,-1.0746812856053216,0.2933914191323093
11,Delta,15,17,0.17083911104571256,0.23570671242450464,-0.06486760137879208,-1.0612693252061824,0.29718577606524177
15,Delta,15,17,0.3123266889107606,0.42297780754811626,-0.11065111863735566,-1.0610185004721198,0.29958972048871807
13,Delta,15,17,0.17975173793614857,0.2385265494407225,-0.05877481150457392,-1.0540444774974946,0.30075354080045813
5,Delta,15,17,0.2708930574534905,0.34684658906206023,-0.07595353160856971,-1.0105725369346723,0.3205165198341119
59,Tetta,15,17,2.1680154488200225,0.46663217540799073,1.7013832734120318,1.0172765375992507,0.3261816197839831
30,Alpha,15,17,0.28069234487733674,5.709762843330952,-5.429070498453616,-1.0110086291283844,0.32704915081584596
3,Alpha,15,17,0.14849957687159382,0.18402916281705808,-0.035529585945464265,-0.9949373493877826,0.32921979019314673
23,Alpha,15,17,0.11138504694792487,0.1497940268779711,-0.038408979930046244,-0.9964031045650401,0.32952630824532214
9,Tetta,15,17,0.899850871260204,0.20648289580388562,0.6933679754563185,1.0051033506529021,0.331886422024143
31,Delta,15,17,4.640966492394607,1.1361825149454157,3.5047839774491907,0.9994248302084774,0.3343826719854275
5,Alpha,15,17,0.11672066108634073,0.14573511009362816,-0.029014449007287432,-0.9816240825308702,0.334669672567972
9,Delta,15,17,3.2058377414823527,0.3603671754316456,2.845470566050707,0.9897438725936899,0.3390888657510638
50,Delta,15,17,0.21617688418972117,0.27486752560075256,-0.05869064141103139,-0.9593063251673584,0.34513374776817785
30,Delta,15,17,7.287202900068627,169.0688360413166,-161.78163314124797,-0.9606564332332717,0.35099930902826526
24,Delta,15,17,2.143750877489173,0.3341383138874999,1.8096125636016733,0.959745697347253,0.35344170974462874
27,Delta,15,17,0.1965344533383373,0.25752558400567505,-0.060991130667337745,-0.9351180303398122,0.3572037784698755
30,Tetta,15,17,1.7462792840623669,25.843883521552268,-24.0976042374899,-0.9466394554436838,0.35785917600960293
34,Delta,15,17,0.2426192427793193,0.30612937668834084,-0.06351013390902155,-0.9329503393990313,0.3586539264050499
20,Beta,15,17,0.10318326101534896,0.08365954059053535,0.01952372042481361,0.9333652178054199,0.3598465335005996
37,Delta,15,17,0.19993811381005103,0.25958481483182316,-0.059646701021772136,-0.9277461815512946,0.3609516724432491
38,Delta,15,17,0.1572189751007254,0.21245293166874502,-0.055233956568019604,-0.9189504203686177,0.3657658615811724
20,Tetta,15,17,0.3142851783642693,0.19810125098175027,0.11618392738251901,0.9145314756732854,0.3751157571092535
20,Delta,15,17,0.6729987634316325,0.3377293982237828,0.33526936520784967,0.8778527001331682,0.3944051752009077
54,Alpha,15,17,0.09688203105525603,0.11658265162520215,-0.01970062056994612,-0.8594837691873012,0.3985301166155819
48,Delta,15,17,0.28230685889129603,0.34113770906998664,-0.05883085017869061,-0.8481413835367181,0.40315614427106183
31,Tetta,15,17,0.9615271294282544,0.4183379226998121,0.5431892067284423,0.8537508047445732,0.40711416943643564
43,Delta,15,17,0.19309037845759167,0.240810738432975,-0.04772035997538335,-0.8363256391382089,0.40979019764689917
61,Delta,15,17,0.2631098877342921,0.3184199341330208,-0.05531004639872866,-0.8355652627079028,0.4101099242976852
24,Tetta,15,17,0.4140147733723835,0.1784734874546361,0.23554128591774742,0.8471410893513889,0.4110284887339022
51,Alpha,15,17,0.1584032003028644,0.19627791674447662,-0.03787471644161222,-0.8169813731557323,0.42057666537427274
41,Delta,15,17,0.166109905465846,0.21664386133582483,-0.05053395586997883,-0.8134622994978675,0.4235433170028805
29,Beta,15,17,0.05917348149010823,0.0692282096516727,-0.010054728161564469,-0.7979836574991866,0.43128188271217127
39,Delta,15,17,0.17402363401793294,0.22147457774843324,-0.047450943730500295,-0.7888912615598015,0.4365055523958331
0,Delta,15,17,1.3030287935561133,0.6548396296152215,0.6481891639408919,0.7913280790635308,0.4394489176523262
1,Delta,15,17,0.32051207875566823,0.38681702574595017,-0.06630494699028194,-0.7786917990754623,0.44231137071514026
51,Tetta,15,17,0.1613233817593446,0.1965817013958923,-0.035258319636547686,-0.7766463201602688,0.44346522980413605
14,Alpha,15,17,0.15755964771267914,0.18618353511042451,-0.02862388739774538,-0.7761993336795359,0.44377423745550937
32,Delta,15,17,0.26469217509859133,0.34556096979007334,-0.080868794691482,-0.7753109881142463,0.44422744178880424
54,Delta,15,17,0.17118569142406895,0.21684246444526842,-0.04565677302119947,-0.7708327828990202,0.4469119750779934
52,Delta,15,17,0.1468904740014483,0.1921324287528167,-0.045241954751368385,-0.7705100868928959,0.44710897949376593
51,Delta,15,17,0.24698155195348795,0.30478681792982487,-0.05780526597633692,-0.7677170357394276,0.4488744025293254
14,Delta,15,17,0.22709954333683796,0.2705573163488332,-0.043457773011995215,-0.7648588814346873,0.45038320061149717
58,Delta,15,17,0.40456199148108085,0.495653896709951,-0.09109190522887017,-0.7294869012179434,0.472287301059208
57,Delta,15,17,0.36490418199035857,0.4457804989330575,-0.08087631694269892,-0.7133194443998331,0.4819456053438306
55,Delta,15,17,0.17757952442126615,0.2195991314217156,-0.04201960700044946,-0.7058820259789065,0.48581455780042937
5,Beta,15,17,0.0708117471815693,0.0835110525736267,-0.012699305392057408,-0.7051674878604464,0.4861469504460746
10,Delta,15,17,0.16137887253056446,0.20202470170099196,-0.0406458291704275,-0.7033659489336864,0.48747369780887706
44,Delta,15,17,0.2760564615210843,0.323136526893,-0.04708006537191567,-0.7010382279602422,0.48883303593617056
17,Beta,15,17,0.08851423443457676,0.11650871978785728,-0.027994485353280515,-0.698233527005714,0.4904728187106733
39,Alpha,15,17,0.09250948985240288,0.10834905407352358,-0.01583956422112069,-0.6931085383314638,0.4940252333066363
1,Beta,15,17,0.08707620643434069,0.11658138289515463,-0.029505176460813937,-0.6718441935239606,0.5070913694333152
58,Alpha,15,17,0.13610221360706617,0.16027186317917178,-0.0241696495721056,-0.6548232865516336,0.5176594688385336
23,Delta,15,17,0.14864134294764392,0.1873911597429454,-0.038749816795301484,-0.6497221296825264,0.5208347622849513
19,Alpha,15,17,0.19029595492378115,0.22307786525485399,-0.03278191033107283,-0.6481906648289966,0.5222302331351878
53,Beta,15,17,0.06496482597782262,0.07729124188350112,-0.012326415905678498,-0.6428115343732077,0.5252911038623242
16,Beta,15,17,0.09682465360041648,0.07193422904212018,0.024890424558296292,0.6502172727287198,0.5253781428360469
21,Delta,15,17,0.14605406255476058,0.18162704605598745,-0.03557298350122687,-0.6422248465970164,0.5258782522222256
20,Alpha,15,17,0.19584090140544705,0.17184644652640116,0.02399445487904589,0.6370772895992161,0.5290740469831334
60,Delta,15,17,0.277045361928287,0.3415829007219033,-0.06453753879361629,-0.6297195994829434,0.5337010078375788
7,Alpha,15,17,0.10176193559808389,0.11952090057275709,-0.017758964974673205,-0.6285613735160036,0.5344796636081718
17,Delta,15,17,0.344556049671438,0.3947679511159241,-0.05021190144448612,-0.6284475730829052,0.5345294069892037
11,Beta,15,17,0.04168054192984802,0.05460974537957909,-0.012929203449731072,-0.6152560999679936,0.5434540098090828
24,Alpha,15,17,0.13773253699321125,0.15315209474696334,-0.015419557753752089,-0.5972377902104392,0.5552318910704475
33,Delta,15,17,0.2571498862541621,0.3087903053424104,-0.051640419088248346,-0.5853662803377712,0.5628232682373122
7,Delta,15,17,0.14497281477328328,0.17920118516065828,-0.034228370387375,-0.5703736656314686,0.5726794563014685
55,Beta,15,17,0.047165541883025845,0.038082575649857855,0.00908296623316799,0.5749327698354326,0.5737547425838914
55,Alpha,15,17,0.10085355004680062,0.11544934302537131,-0.014595792978570693,-0.5427677001160058,0.5916879333963747
40,Beta,15,17,0.13118917507725575,0.10705610016929586,0.024133074907959892,0.5437582662013181,0.5918309004981726
3,Delta,15,17,1.1268448216574536,0.8668941609999714,0.2599506606574822,0.5415827803906921,0.5954678807628173
25,Tetta,15,17,0.2183212340114609,0.24835250912761153,-0.03003127511615064,-0.5266109412276949,0.6035403208797464
35,Alpha,15,17,0.19326788532946795,0.1579263374178099,0.035341547911658056,0.528086727928801,0.6039259863043465
57,Beta,15,17,0.06601649471336887,0.07493948015053065,-0.008922985437161773,-0.510843274756257,0.6133730156327476
16,Delta,15,17,0.39399728590533845,0.3485886008277828,0.04540868507755563,0.4897317752564245,0.6291244950757655
40,Alpha,15,17,0.17903807503836497,0.15737289007680091,0.021665184961564055,0.4857739416885368,0.6317584511868355
25,Delta,15,17,0.6579547053055158,0.5375237585741932,0.1204309467313226,0.4884924036096331,0.631807891807437
41,Beta,15,17,0.06510810907930135,0.07508750364486995,-0.009979394565568594,-0.46497796602355446,0.6457499160754485
9,Beta,15,17,0.12982531079638102,0.10898636064703474,0.02083895014934628,0.46553592345783457,0.6460566042305347
62,Tetta,15,17,0.18070188492891334,0.19397567641459593,-0.013273791485682584,-0.4569506857998809,0.6516453090149545
31,Alpha,15,17,0.21023749631075633,0.23688166781592102,-0.026644171505164682,-0.4402909610865658,0.6631180656103919
12,Beta,15,17,0.04515377845881241,0.05124697725859885,-0.0060931987997864395,-0.4267069183300768,0.6728039378186248
4,Delta,15,17,0.4988694586569355,0.5446379655758207,-0.04576850691888518,-0.4133643794994234,0.6828289312621356
59,Alpha,15,17,0.23120929470788393,0.2653722979430975,-0.034163003235213596,-0.38756254943910806,0.7015131112954373
0,Tetta,15,17,0.37834807619718563,0.30128037518918177,0.07706770100800386,0.3851468699379174,0.7037560610263902
56,Delta,15,17,0.2207490144859231,0.24515127204880324,-0.024402257562880142,-0.3590139894690758,0.7221593513563289
3,Beta,15,17,0.07826181532489876,0.08479128070227823,-0.006529465377379473,-0.3466510747998595,0.7319380035649503
50,Beta,15,17,0.05937289319681152,0.0690325382439529,-0.009659645047141383,-0.34357832397000626,0.7335670239000928
16,Tetta,15,17,0.20952567796976798,0.19223331792556603,0.017292360044201954,0.3368639207333505,0.7402544581501747
19,Delta,15,17,0.2877020883181739,0.25892229944843204,0.028779788869741862,0.3297576366074018,0.7445415985936481
19,Beta,15,17,0.07673479986362278,0.0689123284348211,0.007822471428801672,0.3231502710707027,0.7498079553605808
2,Delta,15,17,0.2799002665435038,0.3016939989658965,-0.021793732422392686,-0.2997607689193665,0.7665710377232652
29,Delta,15,17,0.883116084987682,0.7582640829665654,0.12485200202111657,0.3018039590144262,0.766699382593949
56,Tetta,15,17,0.1271016430168871,0.1362785261479162,-0.009176883131029101,-0.2964846098721492,0.7698743502706722
56,Beta,15,17,0.06737386057419435,0.060237172925818705,0.0071366876483756475,0.29287364797921345,0.7734100953631777
40,Tetta,15,17,0.1813138391172129,0.17250284847884284,0.00881099063837007,0.2602637829802396,0.7971240035355468
35,Beta,15,17,0.13713925691794543,0.15243218839951173,-0.015292931481566296,-0.24702929095818532,0.8070961761578934
19,Tetta,15,17,0.16492509462885438,0.1578577726515902,0.007067321977264174,0.24349855135015866,0.8098916379754046
13,Beta,15,17,0.04909027596226052,0.05081762382317157,-0.0017273478609110549,-0.21805672282092262,0.8291861646393867
53,Delta,15,17,0.2660374083571018,0.25297644620641274,0.013060962150689082,0.17103860511413563,0.8654675628711954
16,Alpha,15,17,0.20562201048883183,0.21447700741035597,-0.008854996921524139,-0.15784595850627223,0.8757429580447034
